Sequence,Alignment Score,Average Score per Base,Percent Sequence aligned,Traceback Start,Traceback End
Cas10_Mtuberculosis,317,0.239064857,0.988888889,[1345][808],[46][8]
Cas10_Phorikoshii,313,0.246650906,0.874015748,[1368][705],[105][40]
Cas10_Ssolfataricus,432,0.316020483,0.864244742,[1365][929],[16][26]
Cas10_Tvolcanium,362,0.312878133,0.923969072,[1312][749],[165][33]
Cas1_DvsH_plasmid,152,0.290630975,0.959302326,[1237][342],[728][13]
Cas1_Gvaginalis,120,0.270880361,0.99376947,[1332][320],[904][2]
Cas1_K-12,107,0.29558011,0.666666667,[1340][263],[983][60]
Cas1_Tdenticola,124,0.294536817,0.965635739,[1096][287],[687][7]
Cas2_K-12,43,0.651515152,0.663157895,[1119][86],[1055][24]
Cas2_Lsalivarius,77,0.611111111,0.794117647,[621][101],[496][21]
Cas2_StB20-like,72,1.028571429,0.568181818,[738][87],[669][38]
Cas3_DvsH_plasmid,210,0.195712954,0.944523471,[1099][683],[48][20]
Cas3_Gvaginalis,261,0.244382022,0.937114673,[1317][790],[272][31]
Cas3_K-12,248,0.245787909,0.750281215,[1232][873],[265][207]
Cas4_K-12,177,0.353293413,0.848901099,[1355][325],[856][17]
Cas4_Ssolfataricus,100,0.304878049,0.827586207,[1308][180],[981][13]
Cas4_TtenaxKra,60,0.810810811,0.277486911,[883][175],[811][123]
Cas5_Gvaginalis,159,0.42513369,0.863013699,[797][274],[424][23]
Cas5_K-12,77,0.292775665,0.68,[493][184],[233][32]
Cas6_Cbotulinum,132,0.371830986,0.82173913,[453][215],[99][27]
Cas6_Hvolcanii_plasmid,93,0.322916667,0.648351648,[755][225],[468][49]
Cas6_Ssolfataricus,121,0.292978208,0.954861111,[1208][286],[799][12]
Cas7_Hvolcanii_plasmid,177,0.5,0.692082111,[416][297],[63][62]
Cas7_K-12,177,0.353293413,0.848901099,[1355][325],[856][17]
Cas7_Ssolfataricus,139,0.445512821,0.769230769,[1144][311],[837][72]
Cas8_LsV,168,0.305454545,0.984076433,[592][313],[43][5]
Cas8_Pdistasois,222,0.308333333,0.848167539,[772][572],[65][87]
Cas8_Pgingivalis,192,0.309677419,0.666,[690][498],[75][166]
Cas9_Bthermosphacta,1736,1.260711692,0.996156802,[1361][1296],[47][1]
Cas9_Cindologenes,658,0.443396226,0.810249307,[1366][1170],[3][1]
Cas9_Cochracea,493,0.361172161,0.62789068,[1352][896],[3][1]
Cas9_Hpullorum,174,0.280645161,0.985507246,[616][342],[6][3]
Cas9_Hpullorum_2,351,0.445997459,0.928876245,[1345][701],[614][49]
Cas9_Kkingae,528,0.372881356,0.97737983,[1368][1042],[3][6]
Cas9_Movipneumoniae,620,0.417508418,0.865671642,[1357][1118],[2][17]
Cas9_Nlactamica,580,0.420594634,0.874422899,[1359][955],[3][9]
Cas9_Pacidlactici,1793,1.214769648,0.998534799,[1365][1364],[1][2]
Cas9_Pnultocida,577,0.416907514,0.904446547,[1361][961],[3][6]
Cas9_Ranatipestifer,529,0.354795439,0.826458037,[1368][1162],[3][1]
Cas9_Sgallolyticus,4540,3.289855072,0.997084548,[1366][1369],[1][2]
Cas9_Smoniliformis,543,0.378133705,0.843650794,[1368][1063],[3][1]
Cas9_Spaucimobilis,404,0.289191124,0.973418882,[1332][1063],[4][2]
